,Location,# Pieces of Plastic/L,Unknown Fibers,Natural Fibers,Plastic Fibers,Fragments,Microbeads,Film,# of Samples,Notes
Sarasota,Shakett Creek,1,0,0,1,0,0,0,1,Fiber.
Sarasota,Siesta Key,1,0,0,1,0,0,0,1,Fiber.
Sarasota,Silver Springs 1,3,0,21,20,0,0,0,6,Average of 6 samples. All fibers.
Sarasota,Silver Springs 2,2,0,22,12,0,0,0,6,Average of 6 samples.  All fibers.
Sarasota,Silver Springs 3,4,0,9,7,0,0,0,2,Average of 2 samples. All fibers.
Sarasota,Silver Springs 4,3,0,28,16,0,0,0,5,Average of 5 samples. All fibers.
St. Johns,Silver Springs Kayak Launch Ramp,3,0,5,9,0,0,0,3,Average of 3 samples. All fibers
,Sorrento Lake,5,0,0,5,0,0,0,1,All fibers.
St. Johns,South of Guana Dam (Guana River),6,0,22,5,0,0,6,2,"Average of 2 samples. Fibers, 6 film"
St. Johns,SR 64 Boat Ramp,1,0,1,1,0,0,0,1,Fiber.
St. Johns,St George River,0,0,1,0,0,0,0,1,All fibers.
St. Johns,St.  Joseph Sound,1,3,3,1,0,0,0,1,Fiber
St. Lucie,St. Augustine Beach,2,3,1,2,0,0,0,1,Fibers
St. Lucie,St. Mary's Route 2 Bridge ,0,0,0,0,0,0,0,2,Average of 2 samples
St. Lucie,Stan Blum Boat Ramp,5,0,0,3,2,0,0,1,"Fibers, 2 fragments"
St. Lucie,Starkey Ranch,1,0,0,1,0,0,0,1,Fiber
St. Lucie,Steinhatchee,3,0,0,3,0,0,0,1,All fibers.
St. Lucie,Suwannee River Canoe Outpost,2,0,1,2,0,0,0,1,fibers
St. Lucie,Suwannee River mouth,0,0,1,0,0,0,0,1,Fiber
St. Lucie,Suwannee River Sill Okefenokee,1,0,3,1,0,0,0,1,fiber
St. Lucie,Suwannee River State Park boat ramp,1,0,2,1,0,0,0,1,fiber
St. Lucie,Suwannee River SWN-01,0,0,0,0,0,0,0,1,
St. Lucie,Suwannee River Wayside Park,1,0,0,2,0,0,0,1,fibers
St. Lucie,Swing Bridge,0,0,2,0,0,0,0,1,
St. Lucie,Tampa Bay Watch,2,2,0,2,0,0,1,2,"Average of 2 samples. Fibers, 1 film."
St. Lucie,Tampa Bay Watch,9,0,18,15,14,0,6,4,"Average of 4 samples. Fibers, 14 fragments, 6 film"
